gender,car_owner,propert_owner,children,annual_income,type_income,education,marital_status,housing_type,mobile_phone,work_phone,phone,email_id,type_occupation,family_members,label,age,employee_status
M,Y,Y,0,180000.0,Pensioner,Higher education,Married,House / apartment,1,0,0,0,unidentified,2,1,51.0,1
F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,unidentified,2,1,37.0,0
F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,unidentified,2,1,37.0,0
F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,unidentified,2,1,37.0,0
F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unidentified,2,1,60.0,1
M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,1,Core staff,3,1,49.0,0
M,Y,Y,1,450000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,1,Core staff,3,1,49.0,0
M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,1,Core staff,1,1,49.0,0
F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Cooking staff,2,1,51.0,0
F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Cooking staff,2,1,51.0,0
M,N,N,1,472500.0,Pensioner,Higher education,Married,With parents,1,0,0,1,unidentified,3,1,24.0,0
M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,1,46.0,0
M,N,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Laborers,2,1,46.0,0
F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,1,0,0,0,Sales staff,1,1,51.0,0
F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,1,0,0,0,Sales staff,1,1,51.0,0
M,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,1,unidentified,2,1,51.0,0
M,N,N,0,202500.0,Working,Higher education,Single / not married,House / apartment,1,0,0,0,unidentified,1,1,35.0,0
M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,1,Laborers,2,1,32.0,0
M,N,Y,0,157500.0,Commercial associate,Higher education,Civil marriage,House / apartment,1,0,0,0,Accountants,2,1,48.0,0
F,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,4,1,33.0,0
F,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,1,0,0,0,Laborers,2,1,43.0,0
F,Y,Y,0,540000.0,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,unidentified,2,1,43.0,0
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,unidentified,2,1,59.0,1
M,N,N,0,540000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,2,1,54.0,0
F,N,Y,0,90000.0,Working,Lower secondary,Single / not married,Rented apartment,1,0,0,0,Cleaning staff,2,1,32.0,0
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,1,unidentified,2,1,59.0,1
F,N,N,0,135000.0,Working,Higher education,Single / not married,House / apartment,1,0,0,0,Laborers,1,1,29.0,0
F,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Sales staff,3,1,43.0,0
M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,unidentified,2,1,35.0,0
M,Y,N,0,112500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Drivers,2,1,55.0,0
M,Y,Y,0,292500.0,Working,Higher education,Married,House / apartment,1,0,0,0,Drivers,2,1,57.0,0
F,Y,Y,0,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unidentified,2,1,65.0,1
M,Y,Y,0,215100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2,1,52.0,0
M,Y,Y,0,450000.0,Commercial associate,Higher education,Separated,House / apartment,1,1,1,0,unidentified,1,1,44.0,0
F,Y,N,2,270000.0,State servant,Higher education,Married,House / apartment,1,1,1,0,unidentified,4,1,43.0,0
F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,unidentified,1,1,63.0,1
F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,unidentified,1,1,63.0,1
F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,unidentified,1,1,63.0,1
F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,0,Low-skill Laborers,3,1,42.0,0
F,N,Y,1,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,1,0,Low-skill Laborers,3,1,42.0,0
F,N,Y,1,67500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Accountants,3,1,51.0,0
M,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,1,30.0,0
M,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,1,30.0,0
M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Laborers,2,1,50.0,0
M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Laborers,2,1,50.0,0
M,N,N,0,171000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,1,1,1,0,High skill tech staff,1,1,31.0,0
M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,1,26.0,0
M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,1,26.0,0
F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,IT staff,2,1,28.0,0
F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,IT staff,2,1,28.0,0
M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,2,1,49.0,0
M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,2,1,49.0,0
M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,2,1,49.0,0
F,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,0,Managers,2,1,51.0,0
M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,3,1,44.0,0
M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,1,1,44.0,0
F,N,N,2,180000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,unidentified,4,1,45.0,0
F,N,N,2,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,unidentified,4,1,45.0,0
F,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,1,0,0,0,unidentified,1,1,67.0,1
M,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,1,0,0,0,unidentified,1,1,67.0,1
F,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,1,0,0,0,unidentified,1,1,67.0,1
M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,1,0,0,0,Sales staff,1,1,25.0,0
